Feature,Duration,ATE,Type
Solar Array's Angle,70,-70.78369521500146,IBS_N
High Gain Antenna Azimuth,70,42.92988434817441,IBS_N
Heater Dutycycle,70,-33.633391981137244,IBS_N
2.5V_PCU_ELB,80,19.712653053127976,IBS_N
Radial Distance from Sun,80,-0.0115923444195873,IBS_N
Electronic Box Temperature,80,-34.47855158624456,IBS_N
Search Coil Magnetometer's Temperature,80,-15.289418908181135,IBS_N
Solar Array's Angle,80,66.13087369826968,IBS_N
High Gain Antenna Azimuth,80,27.12587662555829,IBS_N
Heater Dutycycle,80,-5.680803582034675,IBS_N
2.5V_PCU_ELB,90,48.21390952473865,IBS_N
Radial Distance from Sun,90,-0.0076758510119168,IBS_N
Electronic Box Temperature,90,8.069465637404605,IBS_N
Search Coil Magnetometer's Temperature,90,28.144596130882025,IBS_N
Solar Array's Angle,90,67.20943281629873,IBS_N
High Gain Antenna Azimuth,90,61.84156955610004,IBS_N
Heater Dutycycle,90,-9.08293484701088,IBS_N
2.5V_PCU_ELB,100,17.410796675535863,IBS_N
Radial Distance from Sun,100,-0.0075904933820435,IBS_N
Electronic Box Temperature,100,-31.90212653908233,IBS_N
Search Coil Magnetometer's Temperature,100,53.20333514297965,IBS_N
Solar Array's Angle,100,78.42846891338903,IBS_N
High Gain Antenna Azimuth,100,-37.999949327277314,IBS_N
Heater Dutycycle,100,69.10041206760094,IBS_N
2.5V_PCU_ELB,110,-13.921584878567968,IBS_N
Radial Distance from Sun,110,-0.0077473002441713,IBS_N
Electronic Box Temperature,110,15.922236492744938,IBS_N
Search Coil Magnetometer's Temperature,110,-27.5525755647712,IBS_N
Solar Array's Angle,110,-124.31153531044474,IBS_N
High Gain Antenna Azimuth,110,49.21736974516515,IBS_N
Heater Dutycycle,110,-25.386867498402047,IBS_N
2.5V_PCU_ELB,120,26.178034316651686,IBS_N
Radial Distance from Sun,120,-0.0077939916736086,IBS_N
Electronic Box Temperature,120,-41.706769323690885,IBS_N
Search Coil Magnetometer's Temperature,120,19.99173964588601,IBS_N
Solar Array's Angle,120,-14.199686529355985,IBS_N
High Gain Antenna Azimuth,120,-14.503729945336296,IBS_N
Heater Dutycycle,120,45.96122647278832,IBS_N
2.5V_PCU_ELB,130,-44.52447301353412,IBS_N
