Feature,Duration,ATE,Normalized_ATE,Sum_Normalized_ATE,Type
Outboard Sensor Temperature,50,26.012766760189976,0.0863426436615329,0.9999999999999999,IBS_N
Inboard Sensor Temperature,50,66.27162959456624,0.21997151443766458,0.9999999999999999,IBS_N
Solar Array's Angle,50,30.83903847153783,0.10236220291981155,0.9999999999999999,IBS_N
High Gain Antenna Azimuth,50,7.916232230354069,0.026275883104193543,0.9999999999999999,IBS_N
High Gain Antenna Elevation,50,34.399339217400275,0.1141796993615336,0.9999999999999999,IBS_N
Heater Dutycycle,50,56.54597973831593,0.18768973804468983,0.9999999999999999,IBS_N
Outboard Sensor minus Inboard Sensor Temp.,50,1.3469426081072986,0.004470827217900096,0.9999999999999999,IBS_N
2.5V_PCU_ELB,60,77.26058250952495,0.19787200910924893,1.0,IBS_N
Radial Distance from Sun,60,0.0358325477848715,9.177070624366027e-05,1.0,IBS_N
Electronic Box Temperature,60,31.269726960464965,0.08008486989082753,1.0,IBS_N
Outboard Sensor Temperature,60,25.41426176290452,0.06508844318426302,1.0,IBS_N
Inboard Sensor Temperature,60,19.785118721392347,0.05067164995014467,1.0,IBS_N
Solar Array's Angle,60,107.6233548784894,0.2756340784029034,1.0,IBS_N
High Gain Antenna Azimuth,60,21.90622311879701,0.05610400853472019,1.0,IBS_N
High Gain Antenna Elevation,60,30.00020643106131,0.07683350199274613,1.0,IBS_N
Heater Dutycycle,60,50.64342350519944,0.12970282687046739,1.0,IBS_N
Outboard Sensor minus Inboard Sensor Temp.,60,26.51863065009141,0.06791684135843515,1.0,IBS_N
2.5V_PCU_ELB,70,46.99174702460401,0.10161634351443008,1.0,IBS_N
Radial Distance from Sun,70,0.0202676714607161,4.382741216902211e-05,1.0,IBS_N
Electronic Box Temperature,70,61.54762764450741,0.13309241024701401,1.0,IBS_N
Outboard Sensor Temperature,70,39.192717542180205,0.08475149151073244,1.0,IBS_N
Inboard Sensor Temperature,70,50.75058857265162,0.10974457364306801,1.0,IBS_N
Solar Array's Angle,70,70.78369521500146,0.15306475591176258,1.0,IBS_N
High Gain Antenna Azimuth,70,42.92988434817441,0.09283285153613859,1.0,IBS_N
High Gain Antenna Elevation,70,10.949519145634977,0.02367756402497889,1.0,IBS_N
Heater Dutycycle,70,33.633391981137244,0.07272984150432361,1.0,IBS_N
Outboard Sensor minus Inboard Sensor Temp.,70,105.64336679886031,0.22844634069538278,1.0,IBS_N
2.5V_PCU_ELB,80,19.712653053127976,0.07923924413848153,1.0,IBS_N
Radial Distance from Sun,80,0.0115923444195873,4.659791896734493e-05,1.0,IBS_N
Electronic Box Temperature,80,34.47855158624456,0.13859394569165534,1.0,IBS_N
Outboard Sensor Temperature,80,4.8262729754306575,0.01940024113184613,1.0,IBS_N
Inboard Sensor Temperature,80,56.370260583766175,0.22659237336082952,1.0,IBS_N
Solar Array's Angle,80,66.13087369826968,0.26582725480661656,1.0,IBS_N
